"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"50th Memorial Songs -Beginning Story-","BEMANI Sound Team","135","5","7","8","357","573","735"
"BLACK JACKAL","Akira Complex","150","4","6","9.6","223","402","736"
"Pretender","Official髭男dism","92","1","3","8","134","272","562"
"ボッカデラベリタ","柊キライ","170","2","7","9.0","105","545","723"
"POP TEAM EPIC","上坂すみれ","142","2","6","10.0","116","351","685"
"voltississimo","BEMANI Sound Team ""PHQUASE""","225","4","7","10.3","277","470","833"
"マツヨイナイトバグ","ビートまりおとまろん","190","5","9.1","10.4","386","910","1064"
"マリーゴールド","あいみょん","106","1","5","7","118","273","469"
"みくみくにしてあげる♪【してやんよ】","ika","160","1","5","9.2","101","340","594"
"ミッドナイト☆WAR","いちか","156","4","7","10.0","248","445","832"
"メランコリック","Junky","140","3","6","8","151","364","686"
"妄想感傷代償連盟","DECO*27","110","3","7","9.3","152","446","650"
"YONA YONA DANCE","和田アキ子","145","4","8","9.5","220","431","618"
"ルナティックモンスター","フーリンキャットマーク","136","3","7","9.3","228","428","597"
"令和","ゴールデンボンバー","142","3","7","9.1","249","469","640"
"WARNING×WARNING×WARNING","暁Records","172","4","6","8","262","427","737"
"ワールズエンド・ダンスホール","wowaka","171","3","7","10.2","157","456","818"
"Icicles","Jimmy Weckl","158","4","6","8","288","367","515"
"IN THE NAME OF LOVE","Y&Co. feat. Erica","155","5","6","8","469","607","762"
"SigSig","kors k","179","5","7","9.1","369","568","824"
"Snow Goose","Mutsuhiko Izumi","200","5","7","8","326","503","549"
"Special One","kors k feat. Suzuyo Miyamoto","130","4","5","6","228","319","469"
"TRUE♥LOVE","jun feat. Schanita","188","3","7","9.7","287","439","596"
"bass 2 bass","Ryu☆","140","5","6","8","298","371","573"
"ALBIDA","DJ YOSHITAKA","185","5","7","10.1","332","584","731"
"AIR RAID FROM THA UNDAGROUND","GUHROOVY","180","5","9.7","10.7","362","744","967"
"AREA 51","96","188","6","7","9.5","409","562","828"
"Good-bye Chalon","猫叉Master+","154","4","7","8","243","434","619"
"恋のメリーゴーランド","森野くま子","195","5","6","7","333","506","673"
"Shining Star","Sota Fujimori feat.Nagisa","140","4","6","7","279","406","602"
"少年リップルズ","常盤ゆう","210","4","7","9.5","297","485","659"
"隅田川夏恋歌","seiya-murai feat.ALT","180","4","7","9.8","379","536","683"
"Lead Me","SHOGO","172","3","7","8","205","418","627"
"Russian Snowy Dance","Mutsuhiko Izumi","170-240","5","8","10.0","380","588","706"
"うらもからだも落花微塵","Nanako","160","4","7","9.7","266","542","758"
"ALL MY HEART -この恋に、わたしの全てを賭ける-","SUPER HEROINE 彩香-AYAKA-","160","4","7","8","218","507","643"
"キルト","Des-Sana+wpt9","178","5","7","9.7","310","516","755"
"concon","S-C-U","190","6","9.6","10.5","452","635","812"
"さよならトリップ","Dormir","133","3","7","8","223","528","654"
"Sweet Rain","Y&Co. feat. Karin","155","4","7","9.1","279","577","808"
"Far east nightbird","猫叉Master","180","4","7","9.4","256","538","708"
"fellow","ピンクターボ","179","4","5","7","235","316","601"
"歌の翼","あーたん","140","3","7","9.8","189","476","736"
"electro peaceful","Mr.T","160","4","7","8","335","480","762"
"陽炎","星野奏子","140","3","6","8","226","355","565"
"[E]","dj MAX STEROID","152","6","8","9.6","455","715","842"
"ギタ・ドラ・jubeat大夏祭りのテーマ","DNM盛り上げ隊","157","6","8","9.8","308","422","667"
"candii","八王子P","132","3","6","9.7","214","484","708"
"cloche","Qrispy Joybox","182","3","6","7","232","389","512"
"Summer Holiday","達見 恵 featured by 佐野宏晃","109","4","6","8","193","411","615"
"The Wind of Gold","kors k","170","5","8","10.2","380","631","814"
"幸せのかたち","あさき","119","3","6","9.5","190","416","612"
"532nm","Ryu☆","177","7","8","10.2","306","522","700"
"RePrise","SHOGO","182","4","7","8","215","360","648"
"流砂の嵐","劇団レコード","140-146","5","7","9.4","400","527","806"
"量子の海のリントヴルム","黒猫ダンジョン","280","5","7","10.5","330","536","801"
"Across the nightmare","Jimmy Weckl","150","5","7","9.7","342","481","636"
"anemone","S-C-U feat.Qrispy Joybox","200","5","7","9.7","286","545","711"
"Arousing","DJ TOTTO feat.吉河順央","179","3","7","9.1","230","509","797"
"Vermilion","Remo-con","143","7","9.2","10.4","506","619","804"
"Wow Wow VENUS","VENUS","157","2","7","9.3","263","592","848"
"Water Horizon","青龍","191","4","8","9.1","366","671","780"
"Empathetic","Sota÷Des","180","4","8","9.8","332","556","746"
"お米の美味しい炊き方、そしてお米を食べることによるその効果。","大日本鉄倶楽部【あさき&96】","190","3","7","10.1","324","535","831"
"朧","HHH×MM×ST","149","4","7","9.1","266","508","688"
"GAIA","猫叉L.E.D.Master+","180","4","8","10.3","341","663","978"
"記憶の欠片","Sana","153","3","6","7","203","376","508"
"君の元へ","久保田祥平","180","2","5","7","166","368","484"
"黒髪乱れし修羅となりて","村正クオリア","150","3","6","9.1","246","365","927"
"Chronos","TAG","128","4","8","9.3","312","583","820"
"紅焔","PON","175","4","8","9.6","324","572","889"
"この子の七つのお祝いに","あさき","161","5","8","9.8","214","454","671"
"Condor","Remo-con","142","3","6","9.9","189","379","679"
"Sakura Sunrise","Ryu☆","181","4","8","9.2","312","553","674"
"サヨナラ・ヘヴン","猫叉Master","111","3","6","8","193","466","686"
"Synergy For Angels","TAG×U1-ASAMi","160","3","8","9.7","299","642","764"
"STULTI","MAX MAXIMIZER VS DJ TOTTO","90-182","3","8","9.6","244","480","718"
"晴天Bon Voyage","TOMOSUKE × seiya-murai feat. ALT","230","5","7","9.4","353","524","818"
"Second Heaven","Ryu☆","149","4","6","9.2","268","466","772"
"ZED","USAO","190","4","8","9.6","331","557","869"
"ZZ","D.J.Amuro","154","4","8","10.5","387","715","956"
"創世ノート","PON+wac","200","3","7","8","221","465","645"
"sola","小野秀幸","135","3","7","9.6","228","480","744"
"chaplet","DJ TOTTO","200","4","9.3","10.2","277","678","772"
"闘いの刻-jubeatREMIX-","マジックアカデミー管弦楽部×劇団レコード","174","3","6","7","181","348","485"
"つぼみ","達見恵 featured by 佐野宏晃","184","3","6","8","173","348","547"
"Dispersion Star","ZUKI","180","2","6","9.5","137","292","528"
"デッドボヲルdeホームラン","猫叉Masterβ2","145","4","6","9.6","312","489","713"
"天上の果て","マジックアカデミー管弦楽部×劇団レコード","144","4","7","8","254","454","514"
"Dragontail Butterfly","Tom-H@ck feat.Nadia","170","3","7","8","278","534","711"
"トリカゴノ鳳凰","L.E.D. Vs. 幽閉サテライト","185","3","7","9.1","438","642","947"
"Triple Journey -S-C-U EDITION-","Triumvirate","200","4","9.2","9.8","304","591","648"
"†渚の小悪魔ラヴリィ～レイディオ†","夏色ビキニのPrim","190","5","8","10.2","365","590","875"
"夏・KOI・ムッシュ!!","ビーチサンダルズ","140","4","6","9.5","218","428","702"
"虹色の花","Akhuta y OJ","170","4","6","8","344","483","767"
"HYENA","Hommarju","178","3","7","9.7","267","547","863"
"華爛漫 -Flowers-","TЁЯRA","160","2","7","8","181","457","556"
"ヒーロー","鈴木友里絵","155","3","6","8","257","498","646"
"Pink Rose","Kiyommy+Seiya","116-146","3","6","8","217","333","605"
"Fantasia","TЁЯRA","165","3","6","8","301","480","717"
"ふしぎなくすり","上野圭市 feat. SATOE","162","3","5","9.3","180","410","792"
"Baby Bleep March","seiya-murai","180","4","8","9.5","297","559","677"
"星屑のキロク","小野秀幸","182","4","7","8","294","543","632"
